id,date,lang,interaction_type,field_domain,raw_words,prabowo_words,non_prabowo_words,in_domestic_sample,in_intl_sample,saya,kami,kita,I,me,my,we,us,our,saya_per1k,kami_per1k,kita_per1k,I_per1k,we_per1k,event
149,2025-10-08,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",211,211,0,False,False,6,0,3,0,0,0,0,0,0,28.44,0.0,14.22,0.0,0.0,Penganugerahan Tanda Kehormatan Bintang Yudha Dharma Pratama dan Samkaryanugraha dalam Acara
150,2025-10-08,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",265,265,0,False,False,9,0,10,0,0,0,0,0,0,33.96,0.0,37.74,0.0,0.0,"Setelah Menyaksikan Penyerahan Aset Rampasan Negara dari Tambang Ilegal Kepada PT Timah, Tbk di Smelter"
151,2025-10-15,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",262,262,0,False,False,10,2,14,0,0,0,0,0,0,38.17,7.63,53.44,0.0,0.0,Saat Tiba di Tanah Air usai Hadiri KTT Perdamaian dan Penghentian Perang Gaza
152,2025-10-18,Bahasa Indonesia,Press statement / media Q&A,Education and human-capital development,60,51,9,False,False,3,0,1,0,0,0,0,0,0,58.82,0.0,19.61,0.0,0.0,Setelah Menghadiri Sidang Senat Terbuka dan Dies Natalis Universitas Kebangsaan Republik Indonesia
153,2025-10-20,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",1176,1176,0,False,False,40,0,35,0,0,0,0,0,0,34.01,0.0,29.76,0.0,0.0,Penyerahan Uang Pengganti Kerugian Negara Rp13.255244.538.149 dalam Perkara Tindak Pidana Korupsi
154,2025-10-20,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,6774,6774,0,True,False,134,2,363,0,0,0,0,0,0,19.78,0.3,53.59,0.0,0.0,Sidang Kabinet Paripurna dalam rangka Memperingati Satu Tahun Pemerintahan Kabinet Merah Putih
155,2025-10-23,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,1640,824,816,False,False,28,2,53,0,0,0,0,0,0,33.98,2.43,64.32,0.0,0.0,Presiden Republik Federasi Brasil
156,2025-10-29,Bahasa Indonesia,Presidential address,"Religious, cultural, and social solidarity",410,410,0,False,False,3,0,16,0,0,0,0,0,0,7.32,0.0,39.02,0.0,0.0,Hari Sumpah Pemuda ke-97 Tahun 2025 dari Presiden Prabowo Subianto
157,2025-10-29,Bahasa Indonesia,Presidential address,"Defence, security, law, and public order",2481,2481,0,True,False,101,0,100,0,0,0,0,0,0,40.71,0.0,40.31,0.0,0.0,"Pemusnahan Barang Bukti Narkoba 214,84 Ton Senilai Rp29,37 Triliun Periode Satu Tahun Pemerintahan oleh"
158,2025-10-29,Bahasa Indonesia,Press statement / media Q&A,"Defence, security, law, and public order",185,168,17,False,False,5,0,9,0,0,0,0,0,0,29.76,0.0,53.57,0.0,0.0,"Pemusnahan Barang Bukti Narkoba Sejumlah 214,84 Ton Senilai Rp29,37 Triliun Periode Satu Tahun"
159,2026-01-05,Bahasa Indonesia,Presidential address,"Religious, cultural, and social solidarity",3417,3417,0,True,False,192,8,93,0,0,0,0,0,0,56.19,2.34,27.22,0.0,0.0,"Perayaan Natal Nasional Tahun 2025 di Tenis Indoor Senayan, Kota Administrasi Jakarta Pusat, Provinsi"
160,2026-01-07,Bahasa Indonesia,Presidential address,"Food security, agriculture, and rural development",3521,3521,0,True,False,163,2,104,0,0,0,0,0,0,46.29,0.57,29.54,0.0,0.0,"Panen Raya dan Pengumuman Swasembada Pangan di Desa Kertamukti, Kabupaten Karawang, Provinsi Jawa Barat"
161,2026-01-07,Bahasa Indonesia,Cabinet/executive briefing,Cabinet and executive governance,1546,1546,0,True,False,38,1,106,0,0,0,0,0,0,24.58,0.65,68.56,0.0,0.0,"Taklimat Awal Tahun Presiden Republik Indonesia di Hambalang, Provinsi Jawa Barat"
162,2026-01-08,Bahasa Indonesia,Presidential address,International diplomacy and strategic partnership,1349,1349,0,False,False,36,3,19,0,0,0,0,0,0,26.69,2.22,14.08,0.0,0.0,Pemberian Penghargaan Atlet SEA Games Ke-33 Thailand
163,2026-01-12,Bahasa Indonesia,Ceremonial / policy address,Education and human-capital development,3593,3593,0,True,False,132,3,120,0,0,0,0,0,0,36.74,0.83,33.4,0.0,0.0,Peresmian 166 Sekolah Rakyat di 34 Provinsi di Balai Besar Pendidkan Pelatihan Kesejahteran Sosial
164,2026-01-12,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",2567,2567,0,True,False,52,0,136,0,0,0,0,0,0,20.26,0.0,52.98,0.0,0.0,Peresmian Infrastruktur Energi Terintegrasi Pertamina Refinery Development Master Plan
165,2026-01-13,Bahasa Indonesia,Ceremonial / policy address,Education and human-capital development,1038,1038,0,False,False,21,0,35,0,0,0,0,0,0,20.23,0.0,33.72,0.0,0.0,Peresmian SMA Taruna Nusantara Kampus Malang
166,2026-01-20,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,305,219,86,False,False,2,0,24,0,0,0,0,0,0,9.13,0.0,109.59,0.0,0.0,"Keterangan Pers di London, Inggris"
167,2026-01-20,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,134,6,128,False,False,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,166.67,0.0,Pertemuan Bilateral Presiden Republik Indonesia Prabowo Subianto dan Perdana Menteri Inggris Keir Starmer
168,2026-01-20,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,318,111,207,False,False,0,0,0,7,1,1,1,0,2,0.0,0.0,0.0,81.08,27.03,Pertemuan Tete-a-tete Presiden Republik Indonesia Prabowo Subianto dan Perdana Menteri Inggris Keir
169,2026-01-22,English,Ceremonial / policy address,International diplomacy and strategic partnership,3505,3505,0,False,True,0,0,0,51,5,25,108,11,43,0.0,0.0,0.0,23.11,46.22,World Economic Forum (WEF) Annual Meeting 2026
